truth,temporal_asymmetry,initial_m,final_m,regime_code,regime
-0.8,-0.8,0.6,-0.9289516053895635,0,neutral
-0.8,-0.78,0.6,-0.928951597947802,0,neutral
-0.8,-0.76,0.6,-0.9289515879024732,0,neutral
-0.8,-0.74,0.6,-0.9289515743426946,0,neutral
-0.8,-0.7200000000000001,0.6,-0.9289515560389027,0,neutral
-0.8,-0.7000000000000001,0.6,-0.9289515313313581,0,neutral
-0.8,-0.68,0.6,-0.9289514979796433,0,neutral
-0.8,-0.66,0.6,-0.9289514529595047,0,neutral
-0.8,-0.64,0.6,-0.9289513921886142,0,neutral
-0.8,-0.6200000000000001,0.6,-0.9289513101563837,0,neutral
-0.8,-0.6000000000000001,0.6,-0.9289511994242564,0,neutral
-0.8,-0.5800000000000001,0.6,-0.9289510499511576,0,neutral
-0.8,-0.56,0.6,-0.9289508481829203,0,neutral
-0.8,-0.54,0.6,-0.9289505758230882,0,neutral
-0.8,-0.52,0.6,-0.9289502081735833,0,neutral
-0.8,-0.5,0.6,-0.9289497118946771,0,neutral
-0.8,-0.48000000000000004,0.6,-0.9289490419809648,0,neutral
-0.8,-0.46,0.6,-0.9289481376788119,0,neutral
-0.8,-0.44000000000000006,0.6,-0.928946916974482,0,neutral
-0.8,-0.42000000000000004,0.6,-0.9289452691520685,0,neutral
-0.8,-0.4,0.6,-0.9289430447444343,0,neutral
-0.8,-0.38000000000000006,0.6,-0.9289400419623509,0,neutral
-0.8,-0.36000000000000004,0.6,-0.928935988364731,0,neutral
-0.8,-0.34,0.6,-0.9289305160959357,0,neutral
-0.8,-0.32000000000000006,0.6,-0.9289231284230022,0,neutral
-0.8,-0.30000000000000004,0.6,-0.928913154498826,0,neutral
-0.8,-0.28,0.6,-0.9288996881769968,0,neutral
-0.8,-0.26,0.6,-0.9288815051981404,0,neutral
-0.8,-0.24,0.6,-0.9288569509973078,0,neutral
-0.8,-0.22000000000000008,0.6,-0.9288237885183768,0,neutral
-0.8,-0.20000000000000007,0.6,-0.9287789914294071,0,neutral
-0.8,-0.18000000000000005,0.6,-0.9287184625111063,0,neutral
-0.8,-0.16000000000000003,0.6,-0.9286366489712026,0,neutral
-0.8,-0.14,0.6,-0.9285260148127087,0,neutral
-0.8,-0.12,0.6,0.8243118197927812,1,self_fulfilling
-0.8,-0.09999999999999998,0.6,0.8482211491934374,1,self_fulfilling
-0.8,-0.08000000000000007,0.6,0.8613244711003254,1,self_fulfilling
-0.8,-0.06000000000000005,0.6,0.8695285860357008,1,self_fulfilling
-0.8,-0.040000000000000036,0.6,0.8749917353060321,1,self_fulfilling
-0.8,-0.020000000000000018,0.6,0.8787591728905434,1,self_fulfilling
-0.8,0.0,0.6,0.8814147541696089,1,self_fulfilling
-0.8,0.020000000000000018,0.6,0.883313948784415,1,self_fulfilling
-0.8,0.039999999999999925,0.6,0.8846857643146758,1,self_fulfilling
-0.8,0.05999999999999994,0.6,0.8856835783782487,1,self_fulfilling
-0.8,0.07999999999999996,0.6,0.8864129697516858,1,self_fulfilling
-0.8,0.09999999999999998,0.6,0.8869480578171671,1,self_fulfilling
-0.8,0.12,0.6,0.8873416238005922,1,self_fulfilling
-0.8,0.14,0.6,0.8876316470606957,1,self_fulfilling
-0.8,0.15999999999999992,0.6,0.8878456654748045,1,self_fulfilling
-0.8,0.17999999999999994,0.6,0.8880037584626252,1,self_fulfilling
-0.8,0.19999999999999996,0.6,0.8881206277582452,1,self_fulfilling
-0.8,0.21999999999999997,0.6,0.8882070705844923,1,self_fulfilling
-0.8,0.24,0.6,0.8882710345288456,1,self_fulfilling
-0.8,0.26,0.6,0.8883183793936016,1,self_fulfilling
-0.8,0.28,0.6,0.8883534309792396,1,self_fulfilling
-0.8,0.30000000000000004,0.6,0.8883793855786732,1,self_fulfilling
-0.8,0.32000000000000006,0.6,0.8883986064993069,1,self_fulfilling
-0.8,0.3400000000000001,0.6,0.888412842022016,1,self_fulfilling
-0.8,0.3599999999999999,0.6,0.8884233859348787,1,self_fulfilling
-0.8,0.3799999999999999,0.6,0.8884311959484604,1,self_fulfilling
-0.8,0.3999999999999999,0.6,0.8884369811402427,1,self_fulfilling
-0.8,0.41999999999999993,0.6,0.8884412665817892,1,self_fulfilling
-0.8,0.43999999999999995,0.6,0.8884444411317274,1,self_fulfilling
-0.8,0.45999999999999996,0.6,0.8884467927956082,1,self_fulfilling
-0.8,0.48,0.6,0.888448534895878,1,self_fulfilling
-0.8,0.5,0.6,0.8884498254452172,1,self_fulfilling
-0.8,0.52,0.6,0.8884507814910634,1,self_fulfilling
-0.8,0.54,0.6,0.8884514897381257,1,self_fulfilling
-0.8,0.56,0.6,0.888452014415449,1,self_fulfilling
-0.8,0.5800000000000001,0.6,0.888452403103223,1,self_fulfilling
-0.8,0.6000000000000001,0.6,0.8884526910487007,1,self_fulfilling
-0.8,0.6199999999999999,0.6,0.88845290436313,1,self_fulfilling
-0.8,0.6399999999999999,0.6,0.8884530623898916,1,self_fulfilling
-0.8,0.6599999999999999,0.6,0.888453179458747,1,self_fulfilling
-0.8,0.6799999999999999,0.6,0.8884532661853513,1,self_fulfilling
-0.8,0.7,0.6,0.8884533304339249,1,self_fulfilling
-0.8,0.72,0.6,0.8884533780303978,1,self_fulfilling
-0.8,0.74,0.6,0.8884534132907095,1,self_fulfilling
-0.8,0.76,0.6,0.8884534394121785,1,self_fulfilling
-0.8,0.78,0.6,0.8884534587634318,1,self_fulfilling
-0.8,0.8,0.6,0.8884534730991891,1,self_fulfilling
-0.78,-0.8,0.6,-0.928550280424895,0,neutral
-0.78,-0.78,0.6,-0.9285502729258769,0,neutral
-0.78,-0.76,0.6,-0.9285502628032595,0,neutral
